image,name,price
https://ostore.kg//upload/resize_cache/iblock/d94/220_200_1/6Grey.JPG,INOI 5X,4590 c 
https://ostore.kg//upload/resize_cache/iblock/c53/220_200_1/7Black.JPG,INOI 5i,4190 c 
https://ostore.kg//upload/resize_cache/iblock/2e3/180_240_1/1Wingleсом.PNG,4G Wi-Fi Wingle,"1 c  / шт
"
https://ostore.kg//upload/resize_cache/iblock/30a/180_240_1/photo_2021-03-03_17-03-48.jpg,4G Wi-Fi роутер,"1 c  / шт
"
https://ostore.kg//upload/resize_cache/iblock/6ea/180_240_1/ВД-1.0.png,"Комплект ""Вместе дешевле 1.0""","3290 c  / шт
"
https://ostore.kg//upload/resize_cache/iblock/e21/220_200_1/1Gold.jpg,INOI 287,1290 c 
https://ostore.kg//upload/resize_cache/iblock/b16/220_200_1/7Black.jpg,INOI 3,3790 c 
https://ostore.kg//upload/resize_cache/iblock/3e4/220_200_1/7Black.jpg,INOI 7i,5190 c 
https://ostore.kg//upload/resize_cache/iblock/87d/220_200_1/7Black.jpg,INOI 2 2019,3990 c 
https://ostore.kg//upload/resize_cache/iblock/8fe/220_200_1/1Black.JPG,INOI 7 2020,6290 c 
https://ostore.kg//upload/resize_cache/iblock/781/220_200_1/1Black.jpg,INOI 245R,1790 c 
https://ostore.kg//upload/resize_cache/iblock/f75/220_200_1/1Black.jpg,INOI 5 2021,5990 c 
https://ostore.kg//upload/resize_cache/iblock/e29/220_200_1/1Black.JPG,INOI 3 Power,2590 c 
https://ostore.kg//upload/resize_cache/iblock/cdb/220_200_1/1Blue.JPG,Realme C3,10100 c 
https://ostore.kg//upload/resize_cache/iblock/fd6/220_200_1/1Blue.png,Realme 7i,17000 c 
https://ostore.kg//upload/resize_cache/iblock/742/220_200_1/1Black.png,Realme Narzo 30A,14100 c 
https://ostore.kg//upload/resize_cache/iblock/085/220_200_1/1Black.JPG,Realme C11,9400 c 
https://ostore.kg//upload/resize_cache/iblock/8fb/220_200_1/1Grey.png,Realme C25,15800 c 
https://ostore.kg//upload/resize_cache/iblock/928/220_200_1/1Blue.JPG,Realme C21,Цена по запросу
https://ostore.kg//upload/resize_cache/iblock/485/220_200_1/1Silver.jpeg,iPhone XS Max ,78990 c 
https://ostore.kg//upload/resize_cache/iblock/e59/220_200_1/1Gray.jpeg,iPhone XS,83990 c 
https://ostore.kg//upload/resize_cache/iblock/e71/220_200_1/1Gray.jpeg,iPhone XS Max Dual Sim,86990 c 
https://ostore.kg//upload/resize_cache/iblock/b42/220_200_1/1Gray.PNG,iPhone 8,43590 c 
https://ostore.kg//upload/resize_cache/iblock/850/220_200_1/1Green.jpg,OnePlus 8,52900 c 
https://ostore.kg//upload/resize_cache/iblock/53c/220_200_1/1Black.JPG,OnePlus 8 Pro,66900 c 
https://ostore.kg//upload/resize_cache/iblock/2b4/220_200_1/1Black.png,OnePlus Nord N10 5G,23900 c 
https://ostore.kg//upload/resize_cache/iblock/999/220_200_1/1Grey.JPG,OnePlus 8T,45900 c 
https://ostore.kg//upload/resize_cache/iblock/f84/220_200_1/Front.jpg,Jinga F215,690 c 
https://ostore.kg//upload/resize_cache/iblock/ac1/220_200_1/1Blue.png,Jinga F200n,490 c 
https://ostore.kg//upload/resize_cache/iblock/7d9/220_200_1/1Black.PNG,Jinga M240,890 c 
https://ostore.kg//upload/resize_cache/iblock/178/220_200_1/1Black.PNG,Jinga Simple 2.4,690 c 
https://ostore.kg//upload/resize_cache/iblock/274/220_200_1/black1.jpg,Samsung Galaxy J2 2018,7890 c 
